Time of Visit,IP Address,Request_Method,Visited_Pages,Status_Code,Country,Sports,Frequency_of_Visit,Gender,Age
15:36:29,89.222.119.77,HEAD,images/games.html,200,Argentina,Volleyball,Once,Male,35
6:20:07,0.44.65.161,GET,Athletics.html,200,China,Table Tennis,Often,Male,36
19:49:19,102.229.109.16,POST,football.html,200,Japan,Volleyball,Seldon,Non-binary,31
2:22:15,186.66.122.127,GET,Aquatics.html,403,Peru,Wrestling,Daily,Female,38
7:24:41,102.115.244.71,CONNECT,images/games.html,301,Cameroon,Weightlifting,Seldon,Male,26
17:02:58,191.49.120.165,POST,Basketball.html,301,Canada,Football,Daily,Male,40
18:47:55,209.51.105.61,PATCH,Wrestling.html,301,Portugal,Shooting,Daily,Female,36
2:21:55,176.155.136.83,PUT,Badminton.html,100,Ukraine,Athletics,Often,Non-binary,22
18:33:25,97.195.34.180,POST,index.html,500,China,Football,Often,Female,23
5:29:16,21.101.219.223,GET,football.html,500,Brazil,Athletics,Daily,Male,32
7:55:17,50.115.125.51,HEAD,images/games.html,100,Sweden,Karate,Seldon,Non-binary,47
11:22:29,122.26.123.173,GET,index.html,403,Ukraine,Karate,Seldon,Female,65
16:11:43,126.151.182.233,PATCH,index.html,200,France,Volleyball,Daily,Non-binary,48
0:42:39,93.138.130.68,HEAD,Basketball.html,200,Serbia,Badminton,Once,Female,40
7:00:31,143.233.30.7,HEAD,index.html,200,Indonesia,Athletics,Often,Male,49
20:52:35,172.79.228.158,HEAD,images/games.html,100,Kosovo,Basketball,Seldon,Female,35
0:22:44,230.210.20.253,POST,images/games.html,200,Saudi Arabia,Baseball,Seldon,Female,55
5:10:45,63.162.188.18,HEAD,images/games.html,100,Portugal,Gymnastics,Daily,Non-binary,49
11:05:23,202.204.255.91,POST,Tennis.html,200,Czech Republic,Athletics,Once,Female,19
18:47:59,171.213.76.149,POST,ticketing.html,200,Indonesia,Football,Never,Non-binary,38
22:16:54,92.255.247.178,POST,Badminton.html,200,Brazil,Swimming,Daily,Non-binary,45
8:25:00,237.188.115.159,POST,ticketing.html,301,Venezuela,Badminton,Seldon,Male,37
20:17:25,121.178.53.224,GET,football.html,200,Philippines,Football,Daily,Male,41
19:20:04,216.36.199.131,PATCH,news.html,200,Brazil,Swimming,Never,Male,37
22:29:10,102.55.146.182,PATCH,news.html,200,Germany,Weightlifting,Often,Male,42
18:16:23,180.88.112.225,POST,images/games.html,200,Canada,Basketball,Seldon,Male,57
5:43:40,166.181.97.1,GET,Gymnastics.html,200,Brazil,Badminton,Once,Male,49
17:38:28,215.46.165.101,HEAD,searchsports.html,200,Russia,Athletics,Seldon,Male,59
16:56:21,127.170.3.45,GET,searchsports.html,200,Mongolia,Athletics,Once,Male,35
0:10:28,254.27.159.26,PUT,searchsports.html,200,Indonesia,Basketball,Seldon,Male,31
6:07:36,38.144.227.85,GET,Basketball.html,200,Myanmar,Athletics,Often,Female,69
11:25:35,38.186.242.22,HEAD,index.html,200,Czech Republic,Basketball,Once,Female,22
20:14:48,161.142.220.0,PUT,Basketball.html,200,Thailand,Swimming,Seldon,Female,67
3:30:19,82.160.108.75,HEAD,Basketball.html,200,Albania,Athletics,Seldon,Female,50
20:53:52,43.10.110.118,GET,football.html,301,Guatemala,Gymnastics,Often,Female,66
8:35:05,149.245.141.84,PATCH,index.html,200,Indonesia,Swimming,Seldon,Male,30
12:22:56,88.86.222.246,CONNECT,Tennis.html,301,China,Boxing,Often,Male,24
16:57:26,95.5.94.77,POST,Wrestling.html,301,Philippines,Gymnastics,Often,Male,23
23:03:10,195.124.7.87,HEAD,images/games.html,200,Japan,Swimming,Once,Female,60
8:09:59,45.21.195.80,CONNECT,Basketball.html,200,Nicaragua,Football,Seldon,Female,66
18:37:46,117.88.27.181,GET,Athletics.html,200,Czech Republic,Volleyball,Once,Male,24
0:10:47,150.240.193.104,GET,Wrestling.html,200,Poland,Basketball,Seldon,Female,69
23:22:15,224.227.14.47,CONNECT,searchsports.html,301,China,Table Tennis,Often,Female,38
4:39:51,10.44.218.239,CONNECT,index.html,500,Ukraine,Baseball,Once,Male,56
19:08:55,225.233.227.150,HEAD,searchsports.html,200,Indonesia,Basketball,Never,Female,23
8:10:55,171.92.197.188,GET,index.html,200,China,Basketball,Seldon,Male,66
5:23:15,105.104.50.171,GET,Athletics.html,301,Philippines,Football,Daily,Male,49
6:14:27,69.51.198.141,CONNECT,Tennis.html,200,Sweden,Football,Seldon,Non-binary,29
21:28:14,133.98.153.227,HEAD,searchsports.html,200,Serbia,Football,Seldon,Female,43
10:17:25,120.116.80.186,PATCH,Aquatics.html,100,China,Athletics,Seldon,Female,28
12:57:11,236.7.184.154,GET,football.html,200,United States,Badminton,Daily,Male,21
2:01:51,198.120.251.183,GET,football.html,200,China,Swimming,Daily,Non-binary,24
12:17:53,140.222.183.173,PATCH,images/games.html,200,Iraq,Gymnastics,Seldon,Male,69
1:52:41,134.242.205.76,HEAD,searchsports.html,100,Portugal,Athletics,Seldon,Male,56
6:06:15,120.128.176.60,PUT,index.html,200,China,Table Tennis,Once,Male,22
2:42:27,73.19.144.239,PATCH,index.html,200,Democratic Republic of the Congo,Baseball,Daily,Female,69
12:06:39,219.45.206.32,HEAD,images/games.html,200,China,Swimming,Daily,Male,34
7:57:24,156.59.104.233,CONNECT,football.html,200,Afghanistan,Table Tennis,Once,Male,57
17:05:24,86.47.7.9,HEAD,images/games.html,200,Russia,Badminton,Seldon,Male,50
18:45:32,52.71.8.172,HEAD,football.html,301,Philippines,Swimming,Seldon,Male,24
16:47:47,33.153.79.23,PATCH,ticketing.html,200,Russia,Weightlifting,Never,Male,53
13:13:20,108.109.105.93,CONNECT,Athletics.html,301,China,Swimming,Never,Female,29
16:18:54,138.83.12.233,CONNECT,Athletics.html,301,Vanuatu,Table Tennis,Often,Male,51
0:59:35,61.38.243.55,HEAD,searchsports.html,200,Malaysia,Basketball,Often,Female,23
1:20:33,45.171.43.22,CONNECT,ticketing.html,200,Philippines,Gymnastics,Once,Non-binary,46
20:32:11,185.232.48.88,PATCH,Tennis.html,200,Spain,Gymnastics,Once,Non-binary,45
0:56:41,135.164.201.98,CONNECT,Tennis.html,200,Ukraine,Athletics,Seldon,Female,64
12:38:44,157.53.225.143,HEAD,Volleyball.html,200,Indonesia,Swimming,Seldon,Male,29
10:27:33,133.255.14.148,PATCH,searchsports.html,200,Philippines,Basketball,Often,Female,18
2:35:08,146.86.156.239,GET,football.html,200,China,Swimming,Once,Male,38
5:15:16,214.104.60.215,CONNECT,Athletics.html,301,Brazil,Baseball,Once,Male,23
17:44:43,28.107.125.219,GET,Aquatics.html,200,Syria,Football,Once,Male,28
0:33:28,135.106.230.132,GET,Badminton.html,200,Armenia,Swimming,Seldon,Male,58
9:26:37,142.119.199.98,GET,images/games.html,100,France,Weightlifting,Once,Male,68
16:01:43,94.253.18.147,GET,football.html,200,Armenia,Table Tennis,Daily,Non-binary,55
21:42:33,250.219.75.211,PATCH,index.html,200,Brazil,Athletics,Often,Female,21
16:52:22,5.117.115.216,CONNECT,Athletics.html,301,Chile,Athletics,Often,Female,32
7:47:10,193.174.64.60,GET,Athletics.html,200,Czech Republic,Baseball,Often,Male,64
1:59:07,29.121.108.46,GET,ticketing.html,100,United States,Football,Often,Female,62
18:01:02,238.105.119.213,PUT,Tennis.html,200,Indonesia,Athletics,Seldon,Male,37
7:26:06,41.209.208.24,PUT,football.html,200,Ukraine,Athletics,Daily,Female,33
18:21:48,178.236.140.54,GET,football.html,100,Russia,Swimming,Daily,Male,67
19:09:51,249.77.232.105,POST,football.html,100,Kazakhstan,Football,Seldon,Male,52
6:21:28,93.146.202.48,CONNECT,news.html,200,China,Badminton,Never,Male,52
1:16:22,152.236.198.224,CONNECT,Athletics.html,200,Mauritius,Table Tennis,Seldon,Male,70
21:50:06,103.117.216.26,HEAD,ticketing.html,200,Afghanistan,Table Tennis,Often,Male,53
19:16:48,12.193.96.213,GET,Athletics.html,403,Bolivia,Swimming,Once,Non-binary,62
4:19:24,92.23.136.2,HEAD,index.html,100,Iran,Athletics,Once,Male,49
5:51:49,143.19.35.111,HEAD,Badminton.html,200,Honduras,Swimming,Seldon,Female,25
11:28:44,230.77.205.227,POST,images/games.html,500,Portugal,Athletics,Often,Male,32
2:17:16,165.175.221.27,PATCH,searchsports.html,301,Russia,Shooting,Often,Male,66
18:38:26,198.184.181.38,GET,Basketball.html,100,United States,Baseball,Seldon,Female,29
5:39:25,65.185.88.183,GET,Tennis.html,200,Philippines,Athletics,Seldon,Non-binary,60
20:47:59,23.137.225.210,POST,Athletics.html,403,China,Athletics,Seldon,Male,34
14:42:10,7.153.20.38,PATCH,ticketing.html,200,Sweden,Table Tennis,Once,Non-binary,53
7:57:10,128.206.27.24,CONNECT,ticketing.html,200,Tanzania,Athletics,Seldon,Female,43
10:03:56,168.221.17.109,POST,Athletics.html,301,Thailand,Basketball,Seldon,Male,67
0:52:06,245.162.108.128,PATCH,images/games.html,200,Indonesia,Boxing,Often,Male,43
18:03:25,178.236.238.96,PUT,Gymnastics.html,200,Albania,Athletics,Daily,Female,69
3:25:31,61.161.228.33,POST,index.html,100,Indonesia,Basketball,Daily,Female,20
1:58:34,115.96.67.248,PUT,images/games.html,200,Poland,Basketball,Never,Male,55
9:25:48,215.225.0.68,POST,Athletics.html,200,China,Swimming,Seldon,Non-binary,67
23:28:38,57.36.169.195,CONNECT,searchsports.html,200,Nigeria,Athletics,Seldon,Male,66
14:23:26,58.222.145.91,GET,Karate.html,301,China,Baseball,Often,Male,58
15:30:21,172.68.37.42,GET,football.html,200,Indonesia,Boxing,Daily,Male,28
2:01:38,184.211.113.244,POST,searchsports.html,200,China,Swimming,Seldon,Female,27
21:24:43,62.153.9.199,PATCH,searchsports.html,200,China,Swimming,Seldon,Male,56
23:01:56,183.144.212.223,PUT,images/games.html,200,Morocco,Baseball,Daily,Female,60
11:48:38,230.200.52.81,POST,images/games.html,301,China,Weightlifting,Seldon,Male,39
4:46:24,26.158.170.45,HEAD,Athletics.html,301,Kyrgyzstan,Baseball,Seldon,Male,53
11:51:28,181.54.188.94,HEAD,news.html,200,Poland,Athletics,Often,Female,51
2:01:10,114.142.76.43,PATCH,Gymnastics.html,200,Colombia,Gymnastics,Often,Non-binary,41
0:04:11,196.221.15.10,GET,football.html,200,Indonesia,Basketball,Seldon,Female,35
15:31:21,248.67.94.228,HEAD,Volleyball.html,400,Peru,Athletics,Daily,Female,61
0:59:50,139.202.2.72,POST,Tennis.html,200,Switzerland,Baseball,Often,Female,21
0:04:26,186.64.75.123,HEAD,Athletics.html,200,Brazil,Athletics,Seldon,Female,67
12:50:51,148.156.63.191,DELETE,images/games.html,200,Chile,Karate,Once,Female,63
18:29:25,93.177.6.155,PATCH,index.html,301,Philippines,Swimming,Seldon,Male,61
12:29:09,29.164.178.210,GET,index.html,100,China,Gymnastics,Seldon,Non-binary,34
15:37:13,195.103.25.250,GET,news.html,200,China,Football,Never,Male,53
20:35:14,113.93.85.237,PATCH,searchsports.html,200,France,Shooting,Often,Female,63
0:58:54,202.214.18.177,GET,football.html,100,Portugal,Gymnastics,Daily,Male,48
1:17:23,57.113.74.147,GET,searchsports.html,301,Cyprus,Athletics,Once,Male,65
2:51:47,197.84.197.105,POST,Athletics.html,200,China,Badminton,Seldon,Male,67
4:43:32,97.195.210.198,CONNECT,Athletics.html,200,Cayman Islands,Football,Often,Male,63
23:57:22,18.198.3.232,HEAD,Boxing.html,200,Lithuania,Swimming,Once,Non-binary,64
23:29:06,4.118.47.176,POST,searchsports.html,200,Slovenia,Football,Never,Female,36
19:03:06,82.96.107.67,GET,Athletics.html,200,Sweden,Volleyball,Seldon,Female,63
19:01:41,222.1.112.251,HEAD,Aquatics.html,200,Portugal,Diving,Seldon,Male,34
12:33:41,183.113.218.37,GET,Athletics.html,200,Bosnia and Herzegovina,Baseball,Never,Female,31
21:31:18,10.217.230.10,CONNECT,Basketball.html,200,China,Baseball,Daily,Female,58
17:47:43,235.124.34.202,POST,Baseball/Softball.html,400,Indonesia,Basketball,Seldon,Non-binary,20
17:46:08,8.208.238.124,PATCH,Tennis.html,200,Peru,Badminton,Once,Female,54
20:46:46,71.64.12.95,GET,images/games.html,200,Niger,Karate,Often,Male,29
22:18:15,112.108.17.185,PATCH,searchsports.html,200,Indonesia,Swimming,Seldon,Male,65
8:35:57,80.100.218.202,PATCH,images/games.html,200,Indonesia,Football,Seldon,Non-binary,58
8:45:28,106.184.224.142,CONNECT,index.html,301,Croatia,Swimming,Seldon,Male,67
15:51:54,43.150.132.235,HEAD,Athletics.html,301,Albania,Volleyball,Seldon,Female,34
17:20:03,11.181.13.64,PATCH,ticketing.html,200,Poland,Basketball,Seldon,Female,59
